id,user_id,started_at,ended_at,duration_seconds
629,xhbc-b373,2025-11-15 18:10:51.835277+00,2025-11-15 18:12:04.418002+00,72
630,xhbc-wtbt,2025-11-15 18:15:03.376917+00,2025-11-15 18:15:10.051173+00,6
631,xhoc-jdex,2025-11-15 18:18:22.060105+00,,
632,xhbc-vnvb,2025-11-15 18:23:17.365885+00,2025-11-15 18:23:37.298656+00,20
633,xhbc-u5hh,2025-11-15 19:07:34.720076+00,2025-11-15 19:15:18.839325+00,465
634,xhbc-gk95,2025-11-15 19:27:53.690828+00,2025-11-15 19:28:50.011243+00,56
635,xhbc-gk95,2025-11-15 19:28:35.558307+00,2025-11-15 19:28:48.501119+00,13
636,xhbc-u5hh,2025-11-15 19:58:10.085812+00,2025-11-15 20:00:49.126812+00,159
637,xhbc-82tm,2025-11-15 20:10:28.288911+00,2025-11-15 20:10:43.422684+00,15
638,xhbc-euq9,2025-11-15 20:10:38.514816+00,2025-11-15 20:10:56.748863+00,18
639,xhbc-82tm,2025-11-15 20:11:10.315638+00,2025-11-15 20:11:16.280459+00,6
640,xhbc-7nm5,2025-11-15 20:25:32.566832+00,,
641,xhbc-abwu,2025-11-15 20:34:41.636489+00,2025-11-15 20:34:56.3668+00,15
642,xhbc-abwu,2025-11-15 20:35:02.544036+00,2025-11-15 20:35:09.02315+00,6
643,xhbc-abwu,2025-11-15 20:35:39.474328+00,2025-11-15 20:35:54.653083+00,15
644,xhbc-abwu,2025-11-15 20:38:47.460134+00,2025-11-15 20:38:58.484444+00,11
645,xhbc-63ee,2025-11-15 20:40:52.348993+00,2025-11-15 20:42:13.047893+00,80
646,xhbc-82tm,2025-11-15 20:42:43.19068+00,2025-11-15 20:42:45.985801+00,3
647,xhbc-uffr,2025-11-15 21:23:17.221783+00,2025-11-15 21:23:55.131372+00,38
648,xhbc-uffr,2025-11-15 21:24:32.701381+00,2025-11-15 21:25:05.921641+00,33
649,xhbc-uffr,2025-11-15 21:46:18.61561+00,,
650,xhbc-uffr,2025-11-15 21:46:15.891+00,2025-11-15 21:46:20.116017+00,4
651,xhbc-82tm,2025-11-15 22:01:32.922804+00,,
652,xhbc-8cra,2025-11-15 22:11:26.689853+00,2025-11-15 22:11:44.698411+00,18
653,xhbc-iqpv,2025-11-15 22:11:57.571308+00,2025-11-15 22:14:15.853588+00,138
654,xhbc-iqpv,2025-11-15 22:13:15.744539+00,2025-11-15 22:14:15.220374+00,59
655,xhbc-iqpv,2025-11-15 22:14:46.103547+00,2025-11-15 22:16:32.441117+00,106
656,xhbc-bzt6,2025-11-15 23:14:53.933917+00,2025-11-15 23:16:31.543366+00,99
657,xhbc-8ppq,2025-11-15 23:35:16.339764+00,2025-11-15 23:35:23.727917+00,7
658,xhbc-8ppq,2025-11-15 23:35:28.863065+00,2025-11-15 23:48:14.267215+00,765
659,xhbc-vgq7,2025-11-15 23:45:38.494391+00,,
660,xhbc-vgq7,2025-11-15 23:45:49.060923+00,,
661,xhbc-vgq7,2025-11-15 23:45:48.754+00,2025-11-15 23:46:01.241498+00,12
662,xhbc-vgq7,2025-11-15 23:45:38.172+00,2025-11-15 23:47:45.836803+00,127
663,xhbc-y7ng,2025-11-16 00:18:57.452483+00,2025-11-16 00:20:49.194027+00,111
664,xhbc-gyrm,2025-11-16 00:23:31.608189+00,2025-11-16 00:23:39.154474+00,7
665,xhbc-gyrm,2025-11-16 00:24:05.753838+00,2025-11-16 00:24:28.955116+00,23
666,xhbc-w5gt,2025-11-16 00:45:50.129702+00,2025-11-16 00:53:52.161508+00,482
667,Xhbc-iui2,2025-11-16 00:53:49.57705+00,2025-11-16 00:54:15.295438+00,25
668,Xhbc-iui2,2025-11-16 00:54:18.152726+00,2025-11-16 00:54:34.348869+00,16
669,Xhbc-iui2,2025-11-16 00:58:25.422178+00,2025-11-16 02:15:42.955591+00,4637
670,Xhbc-69h9,2025-11-16 01:21:30.648556+00,2025-11-16 01:22:52.342167+00,81
671,Xhbc-69h9,2025-11-16 01:23:40.01788+00,2025-11-16 01:28:52.186984+00,312
672,Xhbc-69h9,2025-11-16 01:30:51.193574+00,2025-11-16 01:31:54.846487+00,63
673,Xhbc-69h9,2025-11-16 01:34:12.704971+00,2025-11-16 01:35:41.814234+00,89
674,Xhbc-69h9,2025-11-16 01:35:41.977354+00,2025-11-16 01:36:38.156955+00,56
675,xhbc-xzpn,2025-11-16 01:40:03.95558+00,2025-11-16 01:40:41.32402+00,37
676,xhbc-iui2,2025-11-16 02:12:43.124296+00,2025-11-16 02:14:58.927329+00,135
677,Xhbc-iui2,2025-11-16 02:15:02.723865+00,,
678,Xhbc-69h9,2025-11-16 02:15:23.016439+00,2025-11-16 02:15:37.571931+00,16
679,Xhbc-69h9,2025-11-16 02:21:02.099412+00,2025-11-16 02:23:39.095001+00,157
680,Xhbc-69h9,2025-11-16 02:23:39.366001+00,2025-11-16 02:24:26.488126+00,47
681,Xhbc-69h9,2025-11-16 02:29:56.723692+00,2025-11-16 02:30:54.752168+00,58
682,Xhbc-69h9,2025-11-16 02:30:55.308666+00,2025-11-16 02:31:43.507546+00,48
683,Xhbc-69h9,2025-11-16 02:31:44.041045+00,2025-11-16 02:32:18.231085+00,34
684,Xhbc-69h9,2025-11-16 02:32:18.346273+00,2025-11-16 02:32:26.671228+00,8
685,Xhbc-69h9,2025-11-16 02:33:29.664067+00,2025-11-16 02:37:09.988918+00,220
686,Xhbc-69h9,2025-11-16 02:40:07.326829+00,2025-11-16 02:40:18.049631+00,10
687,xhbc-8dhj,2025-11-16 05:06:11.419302+00,,
688,Xhbc-69h9,2025-11-16 07:17:21.717659+00,2025-11-16 07:18:03.279801+00,41
689,Xhbc-69h9,2025-11-16 07:18:26.770548+00,2025-11-16 07:18:29.132506+00,2
690,Xhbc-69h9,2025-11-16 07:18:51.488688+00,2025-11-16 07:18:56.941693+00,5
691,Xhbc-69h9,2025-11-16 07:19:18.289556+00,,
692,Xhbc-69h9,2025-11-16 07:21:42.503481+00,2025-11-16 07:21:52.678822+00,10
693,xhbc-r2zu,2025-11-16 09:34:38.363899+00,2025-11-16 09:46:20.381904+00,702
694,xhbc-r2zu,2025-11-16 09:46:01.080528+00,2025-11-16 09:46:18.480726+00,18
695,xhbc-r2zu,2025-11-16 09:46:30.91575+00,2025-11-16 09:51:40.245896+00,309
696,xhbc-bzt6,2025-11-16 13:53:21.824108+00,2025-11-16 13:55:29.879633+00,128
697,xhbc-ky6c,2025-11-16 16:24:57.055653+00,2025-11-16 16:25:03.815477+00,6
698,xhbc-ky6c,2025-11-16 16:25:21.645585+00,2025-11-16 16:25:45.890547+00,24
699,xhbc-ukff,2025-11-16 16:26:16.809723+00,2025-11-16 16:33:23.618236+00,427
700,xhbc-ky6c,2025-11-16 16:59:26.74934+00,,
